#漢字	音標	解釋	繁簡
當	ɗøᵃŋ1	~时,应~	簡
黨	ɗøᵃŋ3		簡
當	ɗøᵃŋ3		簡
擋	ɗøᵃŋ3		簡
當	ɗøᵃŋ5	~作,典~	簡
郞	løᵃŋ2		簡
莊	tsøᵃŋ1		簡
裝	tsøᵃŋ1		簡
樁	tsøᵃŋ1		簡
壯	tsøᵃŋ6		簡
狀	tsøᵃŋ6		簡
瘡	tsʰøᵃŋ1		簡
闖	tsʰøᵃŋ3		簡
搶	tsʰøᵃŋ3		簡
創	tsʰøᵃŋ5		簡
雙	søᵃŋ1		簡
牀	søᵃŋ2		簡
岡	køᵃŋ1		簡
崗	køᵃŋ1		簡
剛	køᵃŋ1		簡
綱	køᵃŋ1		簡
鋼	køᵃŋ1		簡
講	køᵃŋ3		簡
鋼	køᵃŋ5	刀钝了,~~	簡
項	∅øᵃŋ4		簡
廣	kuøᵃŋ3		簡
曠	kʰuøᵃŋ5		簡
況	kʰuøᵃŋ5		簡
礦	kʰuøᵃŋ5		簡
黃	∅uøᵃŋ2		簡
彷	∅uøᵃŋ2	相似	簡
謊	∅uøᵃŋ3		簡
彷	∅uøᵃŋ3	~效	簡
廂	feᵃŋ1		簡
鑲	feᵃŋ1		簡
牆	feᵃŋ2		簡
詳	feᵃŋ2		簡
將	teᵃŋ1	~来	簡
漿	teᵃŋ1		簡
蔣	teᵃŋ3		簡
獎	teᵃŋ3		簡
槳	teᵃŋ3		簡
醬	teᵃŋ5		簡
將	teᵃŋ5	大~	簡
槍	tʰeᵃŋ1		簡
搶	tʰeᵃŋ3		簡
孃	neᵃŋ2		簡
釀	neᵃŋ6		簡
涼	leᵃŋ2		簡
糧	leᵃŋ2		簡
樑	leᵃŋ2		簡
兩	leᵃŋ3	几~几钱	簡
輛	leᵃŋ3		簡
兩	leᵃŋ3	几~几钱	簡
兩	leᵃŋ4	~个	簡
諒	leᵃŋ6		簡
張	tseᵃŋ1		簡
長	tseᵃŋ3	生~	簡
漲	tseᵃŋ3		簡
帳	tseᵃŋ5		簡
賬	tseᵃŋ5		簡
帳	tseᵃŋ5		簡
脹	tseᵃŋ5		簡
廠	tsʰeᵃŋ3		簡
暢	tsʰeᵃŋ5		簡
傷	seᵃŋ1		簡
長	seᵃŋ2	~短	簡
腸	seᵃŋ2		簡
場	seᵃŋ2		簡
嘗	seᵃŋ2		簡
償	seᵃŋ2		簡
賞	seᵃŋ3		簡
尙	seᵃŋ6		簡
殭	keᵃŋ1		簡
薑	keᵃŋ1		簡
繮	keᵃŋ1		簡
強	keᵃŋ2	~大	簡
強	kʰeᵃŋ3	勉~	簡
讓	ŋeᵃŋ6		簡
鄕	heᵃŋ1		簡
饗	heᵃŋ3		簡
餉	heᵃŋ3		簡
嚮	heᵃŋ5		簡
曏	heᵃŋ5		簡
楊	∅ieᵃŋ2		簡
陽	∅ieᵃŋ2		簡
揚	∅ieᵃŋ2		簡
瘍	∅ieᵃŋ2		簡
養	∅ieᵃŋ4		簡
樣	∅ieᵃŋ6		簡
龐	pəŋ2		簡
憑	pəŋ2		簡
層	fəŋ2		簡
贈	fəŋ6		簡
騰	təŋ2		簡
謄	təŋ2		簡
鄧	təŋ6		簡
燈	ɗəŋ1		簡
恆	∅əŋ2		簡
馮	poŋ2		簡
縫	poŋ2	~衣服	簡
