id	ini	fn	pt	漢字_程序改名	ipa调类	IPA_程序改名	注釋_程序改名	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	ɔ	184
69	ɬ	ɔ	33	梭	ɬɔ33	ɬɔ1	穿～，～子蟹	6						
70	s	ɔ	25	唆	sɔ25	sɔ9	～使	2						
71	ɬ	ɔ	31	鎖	ɬɔ31	ɬɔ3	～匙	2						
72	ɬ	ɔ	31	瑣	ɬɔ31	ɬɔ3	～碎，烦～	5						
73	kʰ	ɔ	33	戈	kʰɔ33	kʰɔ1	干～，～壁	5						
74	k	ɔ	31	果	kɔ31	kɔ3	水～	2						
75	k	ɔ	31	裹	kɔ31	kɔ3	包～	2						
76	k	ɔ	451	過	kɔ451	kɔ5	～去，～头	5						
77	kʰ	ɔ	33	科	kʰɔ33	kʰɔ1	～学，文～	5						
78	tʰ	ɐi	25	棵	tʰɐi25	tʰɐi9	一～树	3						
79	n	ɐm	31	顆	nɐm31	nɐm3	一～珍珠，～粒	7						
80	kʰ	ɔ	451	課	kʰɔ451	kʰɔ5	上～	2						
81	f	a	451	□	fa451	fa5	讹诈	2						
82	ɬ	ɔ	31	臥	ɬɔ31	ɬɔ3	训读：～室，～铺	8						
83	f	ɔ	31	火	fɔ31	fɔ3	着～，～车	5						
84	f	ɔ	31	夥	fɔ31	fɔ3	合～，～计	5						
85	f	ɔ	451	貨	fɔ451	fɔ5	～车，百～	5						
86	f	ɔ	25	和	fɔ25	fɔ9	～平，～气[文]	8						
87	v	ɔ	25	和	vɔ25	vɔ9	～尚[白]	5						
88	v	ɔ	25	禾	vɔ25	vɔ9	割～，～苗	5						
89	v	ɔ	31	禍	vɔ31	vɔ3	大～临头，～害	7						
90	f	ɔ	25	和	fɔ25	fɔ9	唱～，～诗	5						
91	v	ɔ	33	倭	vɔ33	vɔ1	～寇	2						
92	v	ɔ	33	窩	vɔ33	vɔ1	～囊废，～藏	6						
93	kʰ	iœ	25	瘸	kʰiœ25	kʰiœ9	不灵活，～手，～脚	9						
94	f	ɔ	451	靴	fɔ451	fɔ5	皮～	2						
95	p	a	33	巴	pa33	pa1	～掌，～结，～黎	8						
96	p	a	33	芭	pa33	pa1	～蕉，～蕾	5						
97	p	a	33	疤	pa33	pa1	伤～	2						
98	p	a	31	把	pa31	pa3	～握，～脉	5						
99	p	a	31	霸	pa31	pa3	恶～，～王	5						
100	p	ɔ	31	壩	pɔ31	pɔ3	堤，溪～	4						
101	p	a	33	吧	pa33	pa1	酒～	2						
102	p	ɔk	31	垻	pɔk31	pɔk7	平地，湖洋～	6						
103	p	a	31	爸	pa31	pa3	爸爸	2						
104	kʰ	ɔ	25	□	kʰɔ25	kʰɔ9	害怕，惊～	5						
105	k	ɐŋ	33	巾	kɐn33	kɐn1	手～	2						
106	ɬ	ɔ	33	□	ɬɔ33	ɬɔ1	～树	2						
107	pʰ	a	213	琶	pʰa213	pʰa2	琵～	2						
108	pʰ	a	213	杷	pʰa213	pʰa2	枇～	2						
109	pʰ	a	213	耙	pʰa213	pʰa2	犁耙	2						
110	m	a	25	麻	ma25	ma9	天～，～烦	5						
111	m	a	213	痲	ma213	ma2	出～（得痳疹），～风	10						
113	n	ɐn	451	□	nɐn451	nɐn5	妈妈	2						
115	m	a	33	馬	ma33	ma1	骑～，～虎	5						
116	m	a	33	碼	ma33	ma1	～头，大～	5						
117	m	a	31	罵	ma31	ma3	～人	2						
118	n	a	213	拿	na213	na2	～手，推～	5						
119	tsʰ	a	213	茶	tsʰa213	tsʰa2	～叶	2						
120	ts	a	33	楂	tsa33	tsa1	山～	2						
121	ts	a	33	渣	tsa33	tsa1	药～	2						
122	ts	a	31	詐	tsa31	tsa3	～骗	2						
123	ts	a	31	榨	tsa31	tsa3	～菜，～油	5						
124	ts	a	31	炸	tsa31	tsa3	～药	2						
125	tsʰ	a	33	叉	tsʰa33	tsʰa1	刀～，～腰	5						
126	ts	a	33	杈	tsa33	tsa1	桠～，树～	5						
127	tsʰ	a	33	差	tsʰa33	tsʰa1	～别	2						
128	tsʰ	a	33	岔	tsʰa33	tsʰa1	～路，三～路口	7						
129	tsʰ	a	25	查	tsʰa25	tsʰa9	调～	2						
130	ɬ	a	33	沙	ɬa33	ɬa1	泥～，～漠	5						
131	ɬ	a	33	紗	ɬa33	ɬa1	～布	2						
132	ɬ	a	31	灑	ɬa31	ɬa3	～水	2						
133	h	a	31	廈	ha31	ha3	偏廈（厢房）	6						
134	ɬ	a	33	痧	ɬa33	ɬa1	发～，刮～	5						
135	k	a	33	家	ka33	ka1	老～，～庭	5						
136	ɬ	a	33	砂	ɬa33	ɬa1	朱～，～纸	5						
137	k	a	33	加	ka33	ka1	～工	2						
138	k	a	33	痂	ka33	ka1	结～	2						
