#漢字	音標	解釋	繁簡
蒐	ʃau3		簡
獸	ʃau5		簡
壽	ʃau5		簡
繡	ʃau5		簡
鏽	ʃau5		簡
憂	jau1		簡
優	jau1		簡
猶	jau2		簡
郵	jau2		簡
遊	jau2		簡
撓	jau3		簡
誘	jau4		簡
膠	kau1		簡
絞	kau1		簡
敎	kau1	～书	簡
門	kau1		簡
溝	kau1		簡
餃	kau3		簡
攪	kau3		簡
餃	kau5		簡
較	kau5		簡
敎	kau5	～育	簡
夠	kau5		簡
構	kau5		簡
購	kau5		簡
舊	kau5		簡
覺	kau5	睡～	簡
摳	kʰau5		簡
釦	kʰau5		簡
鉤	ŋau1		簡
歐	ŋau1		簡
毆	ŋau1		簡
嘔	ŋau3		簡
毆	ŋau3		簡
漚	ŋau5		簡
慪	ŋau5		簡
銬	hau3		簡
後	hau5	～来	簡
後	hau5	皇～	簡
補	pɐu3		簡
寶	pɐu3		簡
佈	pɐu5	一块～	簡
佈	pɐu5	～置	簡
報	pɐu5		簡
鋪	pʰɐu1	～设	簡
譜	pʰɐu3		簡
範	pʰɐu4		簡
婦	pʰɐu4	白	簡
鋪	pʰɐu5	店～	簡
無	mɐu2		簡
誣	mɐu2		簡
鵡	mɐu4		簡
務	mɐu5		簡
霧	mɐu5		簡
賭	tɐu3		簡
島	tɐu3		簡
搗	tɐu3		簡
鎖	tɐu5		簡
盜	tɐu5		簡
導	tɐu5		簡
塗	tʰɐu2		簡
圖	tʰɐu2		簡
濤	tʰɐu2		簡
禱	tʰɐu3		簡
討	tʰɐu3		簡
鸕	nɐu2		簡
腦	nɐu4		簡
櫓	nɐu4		簡
惱	nɐu5		簡
撈	lɐu1	～钱，又	簡
盧	lɐu2		簡
爐	lɐu2		簡
蘆	lɐu2		簡
廬	lɐu2		簡
驢	lɐu2		簡
勞	lɐu2		簡
嘮	lɐu2		簡
澇	lɐu2		簡
撈	lɐu2	～钱，又	簡
魯	lɐu4		簡
虜	lɐu4		簡
滷	lɐu5		簡
鹵	lɐu5		簡
賂	lɐu5		簡
鷺	lɐu5		簡
組	tʃɐu3		簡
棗	tʃɐu3		簡
竈	tʃɐu5		簡
皁	tʃɐu5		簡
蘇	ʃɐu1		簡
甦	ʃɐu1		簡
囌	ʃɐu1		簡
須	ʃɐu1	胡～	簡
鬚	ʃɐu1	胡～	簡
騷	ʃɐu1		簡
數	ʃɐu3	～星星	簡
訴	ʃɐu5		簡
數	ʃɐu5	～学	簡
掃	ʃɐu5	～把	簡
掃	ʃɐu5	～地	簡
髙	kɐu1		簡
籬	kɐu1		簡
襖	ŋɐu5		簡
奧	ŋɐu5		簡
號	hɐu5	口～	簡
號	hɐu5	～码	簡
標	piu1		簡
錶	piu3	～示	簡
錶	piu9a	手～	簡
飄	pʰiu1		簡
貓	miu2		簡
稅	miu3		簡
廟	miu5		簡
鵰	tiu1		簡
釣	tiu5		簡
弔	tiu5		簡
調	tiu5	～动	簡
調	tiu5	音～	簡
條	tʰiu2		簡
調	tʰiu2	～和	簡
鳥	niu4	文	簡
療	liu2		簡
遼	liu2		簡
瞭	liu4		簡
趙	tʃiu5		簡
銷	ʃiu1		簡
燒	ʃiu1		簡
蕭	ʃiu1		簡
詔	ʃiu5		簡
紹	ʃiu5		簡
簫	ʃiu9a		簡
窯	jiu2		簡
搖	jiu2		簡
搖	jiu2		簡
謠	jiu2		簡
鷂	jiu2		簡
堯	jiu2		簡
饒	jiu2		簡
擾	jiu3		簡
繞	jiu3	围～	簡
繞	jiu3	～线	簡
驕	kiu1		簡
嬌	kiu1		簡
繳	kiu3		簡
矯	kiu3		簡
轎	kiu5		簡
喬	kʰiu2		簡
僑	kʰiu2		簡
橋	kʰiu2		簡
蕎	kʰiu2		簡
竅	kʰiu5		簡
囂	hiu1		簡
僥	hiu3		簡
曉	hiu3		簡
鬨	tʰɐm5		簡
臨	lɐm2		簡
針	tʃɐm1		簡
尋	tʃʰɐm2		簡
寢	tʃʰɐm3		簡
參	ʃɐm1	人～	簡
蔘	ʃɐm1	人～	簡
瀋	ʃɐm3		簡
嬸	ʃɐm3		簡
審	ʃɐm3		簡
滲	ʃɐm5		簡
陰	jɐm1		簡
蔭	jɐm1		簡
飮	jɐm3	～酒	簡
飮	jɐm3	米～	簡
錦	kɐm3		簡
撳	kɐm5	摁	簡
欽	hɐm1		簡
賓	pɐn1		簡
檳	pɐn1		簡
稟	pɐn3		簡
稟	pɐn3		簡
殯	pɐn5		簡
憑	pɐn5		簡
貧	pʰɐn2		簡
頻	pʰɐn2		簡
憑	pʰɐn2	文～	簡
噴	pʰɐn5	～水	簡
噴	pʰɐn5	～香，～嚏	簡
紋	mɐn2		簡
聞	mɐn2		簡
間	mɐn4		簡
憫	mɐn4		簡
問	mɐn5		簡
紛	fɐn1		簡
燻	fɐn1		簡
勳	fɐn1		簡
墳	fɐn2		簡
奮	fɐn4		簡
憤	fɐn5		簡
糞	fɐn5		簡
訓	fɐn5		簡
溫	wɐn1		簡
勻	wɐn2		簡
雲	wɐn2		簡
暈	wɐn2		簡
餛	wɐn2		簡
穩	wɐn3		簡
渾	wɐn5		簡
韻	wɐn5		簡
運	wɐn5		簡
燈	tɐn1		簡
頓	tɐn5		簡
燉	tɐn5		簡
鈍	tɐn5		簡
鄧	tɐn5		簡
騰	tʰɐn2		簡
飩	tʰɐn9a		簡
鄰	lɐn2		簡
鱗	lɐn2		簡
侖	lɐn2		簡
崙	lɐn2		簡
倫	lɐn2		簡
淪	lɐn2		簡
輪	lɐn2		簡
論	lɐn5	～语	簡
論	lɐn5	讨～	簡
眞	tʃɐn1		簡
睜	tʃɐn1		簡
準	tʃɐn3	标～	簡
準	tʃɐn3	～许	簡
診	tʃɐn3		簡
盡	tʃɐn5	～早	簡
儘	tʃɐn5	～早	簡
盡	tʃɐn5	～头	簡
儘	tʃɐn5	～头	簡
進	tʃɐn5		簡
晉	tʃɐn5		簡
鎭	tʃɐn5		簡
陣	tʃɐn5		簡
儁	tʃɐn5		簡
贈	tʃɐn5		簡
親	tʃʰɐn1	～戚	簡
親	tʃʰɐn1	～家	簡
陳	tʃʰɐn2		簡
塵	tʃʰɐn2		簡
層	tʃʰɐn2		簡
襯	tʃʰɐn5		簡
脣	ʃɐn2		簡
純	ʃɐn2		簡
筍	ʃɐn3		簡
訊	ʃɐn5		簡
腎	ʃɐn5		簡
愼	ʃɐn5		簡
遜	ʃɐn5		簡
順	ʃɐn5		簡
隱	jɐn3		簡
釁	jɐn4		簡
癮	jɐn4		簡
紝	jɐn5		簡
韌	jɐn5		簡
閏	jɐn5		簡
潤	jɐn5		簡
僅	kɐn3		簡
緊	kɐn3		簡
謹	kɐn3		簡
鶯	ŋɐn1		簡
銀	ŋɐn2		簡
恆	hɐn2		簡
懇	hɐn3		簡
墾	hɐn3		簡
倖	hɐn5		簡
鈞	kʷɐn1		簡
軍	kʷɐn1		簡
轟	kʷɐn1	～炸	簡
滾	kʷɐn3		簡
崑	kʰʷɐn1	～仑	簡
羣	kʰʷɐn2		簡
睏	kʰʷɐn5	～难	簡
睏	kʰʷɐn5	～觉	簡
緞	tɵn5		簡
鍛	tɵn5		簡
鍛	tɵn5		簡
斷	tɵn5	决～	簡
斷	tɵn5	文，绳～了	簡
團	tʰɵn2	～结	簡
糰	tʰɵn2	～结	簡
團	tʰɵn2	糕～	簡
糰	tʰɵn2	糕～	簡
圍	tʰɵn2		簡
斷	tʰɵn4	白，绳～了	簡
聯	lɵn2		簡
鸞	lɵn2		簡
戀	lɵn4		簡
亂	lɵn5		簡
專	tʃɵn1		簡
磚	tʃɵn1		簡
轉	tʃɵn3	～学	簡
