#漢字	音標	解釋
導	tʰɔ3	领~，~师;领～，～师
小	ɬiau3	~姐，~人;～姐，～人
少	sau3	~数，多~;~年，~爷;～数，多～;～年，～爷
尖	tɕiam1	~刀
尖	ʨiam1	～刀
就	tsʰɛu3	成~，~去
就	ʦʰɛu3	成～，～去
尾	mei1	尾巴
尿	ȵiau3	屙~;屙～
局	kʰuk8	~部，公安~;～部，公安～
屁	pʰi5	放~;放～
屈	kʰet8	委~，~服[文];委屈，~气[白];委～，～服[文];委屈，～气[白]
屋	ok7	老~;老～
屎	ɕi3	狗~;狗～
屐	kʰiak8	木~;木～
展	tʃam3	开~，发~
展	ʧam3	开～，发～
層	tsʰɛn2	~次
層	ʦʰɛn2	～次
屬	suk8	~于，家~;～于，家～
山	ɬan1	山
岸	ŋɔn5	口~，两~;口～，两～
巖	ŋam2	~石，石灰~;～石，石灰～
左	tsɔ3	~右
左	ʦɔ3	～右
巨	kʰy3	~大，艰~;～大，艰～
巴	pa1	~掌，~结，~黎;～掌，～结，～黎
巷	hɔŋ3	巷子，两条~;巷子，两条～
布	pu5	红~，~料;红～，～料
希	hi1	~望;～望
師	sə1	老~，~父;老～，～父
席	tsʰɛt8	酒~，主~
席	ʦʰɛt8	酒～，主～
帶	tai5	鞋~;鞋～
常	sɔŋ2	经~，~识;姓;经～，～识；姓
帽	mɔ3	草~;草～
幣	pʰi3	人民~;人民～
幫	pɔŋ1	~忙;～忙
平	pʰən2	和~，~时[文];~头，~地[白];和～，～时[文];～头，～地[白]
年	ȵian2	过~;过～
幸	hən3	荣~，~福;荣～，～福
幹	kɔn5	~部，才~;～部，才～
幾	ji1	~只;～只
序	tɕʰy3	顺~
序	ʨʰy3	顺～
底	tɛ3	水~;水～
店	tiam5	开~;开～
府	fu3	政~;政～
度	tʰu3	~数，长~;～数，长～
座	tsʰɔ3	~位，上~
座	ʦʰɔ3	～位，上～
庵	am1	尼姑~;尼姑～
康	kʰɔŋ1	健~;健～
廟	miau3	和尚~;和尚～
