#漢字	音標	解釋
忌	ki6	
妓	ki6	
季	kuɐi5	
計	kɐi5	
既	ki5	
紀	ki3	紀律、世紀。
記	ki5	
徛	kʰɛi4	立。
祭	ʦɐi5	
寄	ki5	
寂	ʦik8	
跡	ʦik7a	
際	ʦɐi5	
髻	kɐi5	
冀	kʰi5	
績	ʦik7a	
繼	kɐi5	
加	ka1	
佳	kai1	
痂	ka1	
家	ka1	家、傢具讀音亦同。
裌	kap7b	裌衣。
嘉	ka1	
夾	kap7b	
甲	kap7b	
胛	kap7b	肩胛。
假	ka3	真假。
架	ka5	
嫁	ka5	
稼	ka5	
價	ka5	
駕	ka5	
駱	lɔk7b	
尖	ʦim1	
肩	kin1	
兼	kim1	
堅	kin1	
間	kan1	中間。
煎	ʦin1	
監	kam1	國子監。
箋	ʦin1	
艱	kan1	
殲	ʦʰim1	殲滅。
柬	kan3	
剪	ʦin3	
揀	kan3	
儉	kim6	
檢	kim3	
繭	kan3	
繭	kɛn3	
簡	kan3	
鹹	ham2	文讀<br />白讀。
鹹	hɛm2	文讀<br />白讀。
件	kin6	
見	kɛn5	
見	kin5	
建	kin5	
健	kin6	
漸	ʦim6	
賤	ʦin6	
踐	ʦʰin4	
箭	ʦin5	
劍	kim5	
澗	kan5	
薦	ʦin5	
諫	kan5	
艦	lam6	
鐧	kan5	車鐧。
鑒	kam5	
江	kɔŋ1	
豇	kɔŋ1	豇豆。
將	ʦœŋ5	大將。
僵	kœŋ1	
漿	ʦœŋ1	
薑	kœŋ1	
礓	kœŋ1	礓石。
疆	kœŋ1	
繮	kœŋ1	繮繩。
韁	kœŋ1	繮繩。
槳	ʦœŋ3	
獎	ʦœŋ3	
講	kɔŋ3	
匠	ʦœŋ6	
降	kɔŋ5	下降。
醬	ʦœŋ5	
交	kau1	文讀<br />白讀。
交	kɛu1	文讀<br />白讀。
郊	kau1	
椒	ʦiu1	
焦	ʦiu1	
蕉	ʦiu1	芭蕉。
膠	kau1	
澆	hiu1	
嬌	kiu1	
驕	kiu1	
嚼	ʦœk8	
角	kɔk7b	
狡	kau3	
絞	kau3	
腳	kœk7b	
矯	kiu3	矯詐。
攪	kau3	文讀<br />白讀。
攪	kɛu3	文讀<br />白讀。
叫	kiu5	
敎	kau5	教育。
窖	kau5	
酵	hau1	
醮	ʦiu5	打醮。
皆	kai1	
接	ʦip7b	
階	kai1	
揭	kʰit7b	
街	kai1	
稭	kai1	麥稭。
劫	kip7b	
捷	ʦit8	
傑	kit8	
結	kit7b	
節	ʦit7b	
潔	kit7b	
姐	ʦɛ3	
解	kʰai3	解開。
介	kai5	
戒	kai5	
芥	kai5	
屆	kai5	
界	kai5	
疥	kai5	
借	ʦɛ5	
褯	ʦɛk8	褯子。
巾	kɐn1	
斤	kɐn1	
今	kɐm1	
金	kɐm1	
津	ʦɵn1	
筋	kɐn1	
襟	kʰɐm1	
僅	kɐn4	
緊	kɐn3	
錦	kɐm3	
謹	kɐn3	
近	kɐn6	文讀<br />白讀。
近	kʰɐn4	文讀<br />白讀。
勁	kiŋ5	勁敵。
晉	ʦɵn5	
浸	ʦɐm5	
進	ʦɵn5	
禁	kɐm5	禁止。
盡	ʦɵn6	
京	kiŋ1	
荊	kiŋ1	
莖	kiŋ5	
晶	ʦiŋ1	
睛	ʦiŋ1	眼睛。
粳	kɐŋ1	粳米。
經	kiŋ1	
精	ʦiŋ1	文讀<br />白讀。
精	ʦɛŋ1	文讀<br />白讀。
鯨	kiŋ2	
驚	kiŋ1	文讀<br />白讀。
驚	kɛŋ1	文讀<br />白讀。
井	ʦiŋ3	文讀<br />白讀。
井	ʦɛŋ3	文讀<br />白讀。
景	kiŋ3	
警	kiŋ3	
陘	jiŋ2	井陘。
徑	kiŋ5	
竟	kiŋ5	
淨	ʦiŋ6	
敬	kiŋ5	
靖	ʦiŋ6	
境	kiŋ3	
靜	ʦiŋ6	
鏡	kɛŋ5	
競	kiŋ6	
迥	kuiŋ4	迥然不同。
窘	kʰuɐn5	
究	kɐu5	
糾	tɐu3	糾正。
揫	ʦɐu1	一把揫住。
鳩	kɐu1	
鬮	kʰɐu1	拈鬮。
九	kɐu3	
久	kɐu3	
灸	kɐu5	針灸。
韭	kɐu3	
酒	ʦɐu3	
臼	kɐu4	
咎	kɐu5	
柩	kɐu6	
救	kɐu5	
就	ʦɐu6	
舅	kʰɐu4	
舊	kɐu6	
拘	kʰyu1	
居	kyu1	
掬	kuk7a	一捧。
駒	kʰyu1	
局	kuk8	
菊	kuk7a	
橘	kuɐt7a	
矩	kyu3	規矩。
舉	kyu3	
巨	kyu6	
句	kɐu1	
拒	kʰyu4	
具	kyu6	
倶	kʰyu1	
距	kʰyu4	
聚	ʦɵi6	
劇	kʰɛk7b	劇烈。
據	kyu5	
鋸	kyu5	鋸子。
懼	kyu6	
捐	kyun1	
倦	kyun6	
眷	kyun5	
絹	kyun5	
決	kʰyut7b	
掘	kuɐt8	
訣	kʰyut7b	
絕	ʦyut8	
橛	kʰyut7b	
憠	kʰyut7b	脾氣憠。
爵	ʦœk7b	
覺	kɔk7b	知覺。
倔	kuɐt8	倔強。
均	kuɐn1	
君	kuɐn1	
軍	kuɐn1	
菌	kʰuɐn3	
鈞	kuɐn1	
俊	ʦɵn5	
郡	kuɐn6	
揩	hai1	
開	hɔi1	
凱	hɔi3	
慨	kʰɔi5	慷慨。
刊	hɔn1	
勘	hɐm5	勘誤、勘探。
堪	hɔm1	
龕	hɐm1	
坎	hɔm3	
看	hɔn5	看見。
康	hɔŋ1	
慷	hɔŋ3	慷慨。
糠	hɔŋ1	
扛	kʰɔŋ1	
考	hau3	
犒	kɔu3	
靠	kʰau5	
科	fɔ1	
窠	fɔ1	
顆	lɔ3	一顆珠。
