#漢字	音標	解釋
厲	lɛ3	严～，～害
勵	lɛ3	鼓～
際	tsi5	国～
滯	tsʰɛ3	停～，湿～（中医）
制	tsɛ5	～度
製	tsɛ5	～造
世	sɛ5	～界
世	sɛ5	出～
勢	sɛ5	～力，有权有～
誓	sai5	发～
逝	sai3	～世
藝	ȵɛ3	～术，文～晚会
閉	pi451	关～
批	pʰɛ1	～评，大～
陛	kai1	～下
迷	mi9	入～，～路
米	mi31	大米
謎	mi213	～语，猜～
低	tɛ1	高～
堤	tʰi2	河～，～坝
底	tɛ3	水～
抵	tɛ3	～押
抵	tɛ3	用手抵挡
帝	ti5	皇～
梯	tʰɔi1	楼～
蒂	ti5	花～，并～莲
體	tʰi3	～育，身～
替	tʰɛ5	代～，～身
涕	tʰi5	～泪纵横
剃	tʰɛ5	～头
屜	tʰɛ5	抽～
題	tʰi2	～目，难～
提	tʰi9	～问，～醒
蹄	tʰɛ2	马～
啼	tʰɛ9	哭哭～～[文]
啼	tʰɛ2	鸡～[白]
弟	tʰi3	兄～[文]
弟	tʰi3	弟弟，老～[白]
第	tʰi3	～一，门～
遞	tʰi5	传～，邮～员
犁	lɛ9	耕田用具
黎	lɛ2	～民，～明；姓
禮	li1	～貌
麗	lɛ3	秀～
隸	tʰi5	奴～，～属
擠	tsɛ1	拥～，～时间
濟	tsi5	～公，经～
妻	tsʰi1	夫～
砌	tsʰɛ5	～墙
齊	tsʰɛ9	～国[文]
齊	tsʰɛ2	整～，放～，来～[白]
臍	tsʰi9	肚～，～带
劑	tsɛ1	一～药，药～
西	ɬi1	东西南北
棲	tsʰai1	两～动物
犀	ɬɛ1	～牛
洗	ɬɛ3	～菜，～衣机
細	ɬɛ5	粗细，大小
婿	ɬɛ5	女～
雞	kɛ1	～公（公鸡）
稽	kʰɛ1	～查，滑～
計	kɛ5	～算，会～
繼	kɛ5	～续，～承
繫	hɛ5	～皮带
髻	ki5	发髻；鸡～（鸡冠）
溪	kʰɛ1	～水
啟	kʰɛ3	～发
契	kʰɛ5	房～，～约
倪	ji9	姓，～萍
奚	kʰɛ1	～落
系	hɛ451	中文～，～统
繫	hɛ5	联～
係	hɛ5	关～[文]
係	hɛ3	是[白]
杯	pɐi1	茶～
輩	pɐi5	～分，长～
坯	pʰɔi1	泥～，毛～房
配	pʰɐi5	分～，搭～
培	pʰɔi2	～训
陪	pʰɔi2	～同
賠	pʰɔi2	～钱
裴	pʰɔi2	姓
倍	pʰɔi9	～数
佩	pɐi5	～服
背	pɔi5	～书
焙	pʰɔi3	～火
梅	mɔi9	～花
枚	mɔi2	两～
媒	mɔi2	～人
煤	mɔi9	烧～，～矿
玫	vɐi9	～瑰
每	mɐi1	～只，～日
莓	mɔi9	草～
妹	mɔi5	妹妹，姊～，老～
昧	mɐi3	愚～，拾金不～
堆	tɔi1	一～[量]，～放[动]
對	tui5	～错；成双成～
碓	tɔi5	舂米工具，踏～
推	tʰɐi1	～荐，～动
腿	tʰɐi3	～部，火～
退	tʰui5	后～，～步[文]
退	tʰui5	向后退[白]
隊	tʰui3	～伍，排～
內	nui3	～行，～外
雷	lui2	打～，～公；姓
累	lui3	劳～
催	tsʰui1	～促，～眠
崔	tsʰui1	姓，～莺莺
摧	tsʰui1	～残
罪	tsʰui3	得～，犯～[文]
罪	tsʰui3	～过（可怜、难受）[白]
碎	ɬui5	～布，破～
盔	fɔi1	头～，～甲
魁	kʰui2	～梧，花～
恢	fɔi1	～复
塊	kʰui9	一～钱，～头
桅	ŋɐi2	～杆
灰	fɔi1	石～，～色
悔	fɐi3	后～
回	fɐi9	～想[文]
回	fɐi9	～礼[白]
茴	fɐi2	～香
匯	fɐi3	～报，～款
潰	kʰui5	～疡，胃～疡
煨	vɔi1	～番薯
蛻	tʰui3	～变，～皮，～壳
兌	tʰui3	～水，～换
最	tsʰui5	～好
會	fɐi3	～计
劊	kʰui5	～子手
檜	kʰui5	人名，秦～
外	ŋɔi3	～面
會	fɐi3	开～
會	fɐi3	～睡，～来
繪	kʰui5	～图，测～
乖	kuai1	小孩听话
怪	kuai5	奇～
懷	fai2	～疑
槐	kʰuɐi2	～树
淮	fai2	～河，～北
壞	fai3	～人
拐	kuai3	～卖，铁～李
拐	kuai3	～脚（瘸腿）
掛	kʰua5	～起来，牵～，～钩
卦	kua5	八～
歪	vai1	～风邪气
畫	vɐt8a	～图，图～
快	kʰuai5	～车
筷	kʰuai5	公～
話	va3	笑～，讲～[文，名]
話	va3	讲～[白，名]
話	va3	说[白，动]
脆	tsʰɐi5	干～[文]
脆	tsʰɐi5	易断[白]
歲	ɬɔi5	万～，～月[文]
歲	ɬɔi5	十～，～数[白]
綴	tsʰui3	点～
稅	sɔi5	交～，～收
衛	vɐi3	～生
銳	ȵui5	尖～，～角
廢	fɐi5	～品，作～
肺	fɐi3	猪～
吠	kʰian5	狗～
閨	kui1	～房
桂	kui5	～花
奎	kʰuɐi9	人名用字；～宁（药名）
攜	kʰuɐi2	～带，提～
惠	jui3	～州，优～
慧	jui5	智～
碑	pɐi1	石～，～文
卑	pɐi1	自～，～鄙
彼	pʰi3	～此
臂	pi5	手～，～力
披	pʰi1	～肩，～露
譬	pi5	～喻，～如
皮	pʰi2	调～，～肤
疲	pʰi2	～劳
脾	pʰi9	～胃，～气
被	pʰi1	被子，毛巾～
婢	pʰi3	奴～，～女
被	pʰi1	～动，～迫
□	pʰɐt7	逃避
糜	vi2	～烂；粥
彌	ni3	～补，阿～陀佛
離	li9	～別，～开
籬	li2	～笆
璃	li2	玻～
荔	li2	～枝
紫	kə3	～色
雌	tsʰi1	～雄
此	kʰə3	到～为止
刺	tsʰi5	～激，穿～
疵	pʰi5	瑕～，吹毛求～
斯	ɬə1	～大林
撕	ɬə1	～烂
賜	kʰə5	赏～
知	ti1	通～，～道，无～[文]
知	tsi5	～识[文]
知	ti1	知道，唔～[白]
蜘	ti1	～蛛
智	tsi5	～慧
池	tsʰi9	水～
馳	tsʰi9	奔～
差	tsʰa1	参～不齐
篩	tsʰɛ1	谷～，米～
支	tsi1	两～笔[白，量]
支	tsi1	～持，天干地～[文]
枝	tsi1	树～
肢	tsi1	四～，～体
梔	tsi1	黄～（水横枝、黄果）
紙	tsi3	白～
只	tsi3	～有
舐	tʰiam1	舔
施	si1	措～；姓
翅	tsʰi5	鱼～
匙	si2	锁～，汤～
是	si5	～否，～非
氏	si3	姓～
豉	si3	豆～
兒	ji2	～童
爾	ni1	～虞我诈；保～（人名）
寄	ki5	～信，～托
企	kʰi1	～业，～鹅
奇	kʰi9	～怪
騎	kʰi2	～马
騎	kʰi9	～楼
岐	kʰi9	～山
徛	kʰi1	站立；（山）斜度高
技	kʰi3	～术[文]
技	kʰi3	杂～[白]
妓	kʰi1	～女
宜	ȵi2	适～，～昌
儀	ȵi3	礼～，～式
蟻	ȵɐi5	蚂蚁，白～
誼	ȵi9	友～
義	ȵi3	情～，～气
議	ȵi5	～论，会～
犧	hi1	～牲
戲	hi5	做～
倚	ji1	～靠，～老卖老
椅	ji3	椅子，藤～
移	ji2	～动
易	ji5	容～
悲	pɐi1	～伤
鄙	pɐi1	卑～，～视[文]
比	pi3	～较，对～
祕	pi5	～书，～密
泌	pi5	分～；滤出汤汁
庇	pi5	包～，～护
痹	pi5	麻～
丕	pɐi1	人名用字，曹～
屁	pi5	放～
琵	pʰi2	～琶
枇	pʰi2	～杷
備	pʰi3	准～，～用
鼻	pʰi3	鼻子；鼻涕
篦	pɛ1	篦子（很密的梳子）
眉	mi2	眉毛，画～
楣	mi2	门～
黴	mɔi2	发～，倒～
美	mɐi1	～丽，～化
媚	mi2	～眼，妩～；人名用字
寐	mɐi3	梦～以求，假～
地	tʰi3	土～
尼	nɛ2	～姑
膩	nɛ3	油～，细～
梨	li9	梨
履	fʊk7	～行，～历
利	li3	～润，有～
痢	li3	～疾
痢	li3	癞～（头屑）
資	kə1	～本
姿	kə1	～势
咨	ʔə1	～询
姊	tsi3	～妹
次	kʰə5	名～，～品
瓷	kʰə2	～砖，陶～
餈	tsʰi2	糍粑，糯米～
自	kʰə3	～私
私	ɬə1	自～
死	ɬi3	～人
四	ɬi5	数字
肆	ɬi3	放～
致	tsi5	导～
遲	tsʰi2	～到，推～
稚	tsʰi1	幼～
師	ɬə1	老～，～父
獅	ɬə1	狮子
脂	tsi1	～肪，胭～
旨	tsi3	圣～
指	tsi3	手～，～甲
至	tsi5	～少
示	si5	表～
屍	si1	～体，死～
矢	tsʰi3	有的放～
屎	si3	狗～
視	si5	近～
好	hau3	愛好
二	ȵi3	数字
貳	ȵi3	～心
