#漢字	音標	解釋
唱	ʦʰɔŋ5	～歌
唾	sui2	~弃，~液;～弃，～液
啄	tœt8a	~木鸟，鸡~米;～木鸟，鸡～米
商	sɔŋ1a	~量，经~;～量，经～
問	mɐn5	~题;～题
啞	ʔa3	哑巴，~佬;哑巴，～佬
啟	tʰɛ3	~发;～发
啱	ŋam1a	合适，恰巧
啼	tʰi2	哭哭~~[文];哭哭～～[文]
啼	tʰɛ2	鸡~[白];鸡～[白]
善	sian3	~良，心~;～良，心～
喉	hɐi2	~咙;～咙
喊	ham5	叫[文];叫[白]
喘	tsʰɔn3	哮~
喘	ʦʰɔn3	哮～
喚	vɔn3	呼~;呼～
喝	hɔk8a	吆~，~彩;吆～，～彩
喧	ɬian1a	~哗，~闹;～哗，～闹
喩	jy3	比~;比～
喪	ɬɔn5	婚~，~事;~失;婚～，～事;～失
喬	kʰiau2	姓
單	sam2	姓
單	tan1a	~独;～独
嗅	tsʰiu5	~觉
嗅	ʦʰiu5	～觉
嗓	ɬɔn1a	金~子;金～子
嗣	sia2	后~;谭~同;后～；谭～同
嗦	sɔ1a	啰嗦
嗽	ɬiu5	咳~;咳～
嘆	tʰan5	~气;～气
嘉	ka1a	~宾;～宾
嘔	ʔɐi3	~吐;～吐
嘗	sɔŋ2	~试，品~;～试，品～
嘢	ȵa1a	东西
嘮	lɔ1a	~叨;～叨
嘴	tsɔi5	嘴巴[文];嘴巴[白，训]
嘴	ʦɔi5	嘴巴[文];嘴巴[白，训]
嘻	hi3	~皮笑脸;～皮笑脸
噍	ȵai5	嚼
噓	tsʰa1a	吹~
噓	ʦʰa1a	吹～
器	hi5	武~，机~，~重;武～，机～，～重
噴	pʰɐn5	~水;~嚏;～水；～嚏
嚇	hæk8a	~人;～人
嚇	hɐt8a	~一跳;～一跳
嚥	jiɐn1a	~喉;～喉
嚴	ȵam2	~格;姓;～格；姓
嚼	tsʰiœt8a	咀~，~碎
嚼	ʦʰiœt8a	咀～，～碎
囂	hiau1a	~张;～张
囉	lɔ1a	喽~，~嗦;喽～，～嗦
囊	nɔŋ2	背~;背～
囑	tsok8a	遗~，~托
囑	ʦok8a	遗～，～托
囚	tsʰiu2	~犯
囚	ʦʰiu2	～犯
四	ɬi5	数字
回	fɐi2	~想[文];~礼[白];～想[文];～礼[白]
因	jɐn1a	原~;原～
囤	tʰun2	~积;～积
囥	ʔɐm1a	藏
囪	tsʰoŋ1a	烟~
囪	ʦʰoŋ1a	烟～
困	kʰɐn5	~难;～难
固	ku5	~定;～定
圈	kʰuan1b	圆~，~套;圆～，～套
國	kɔk8a	~家，中~;～家，中～
圍	vɐi2	包~，~墙;包～，～墙
園	jan2	菜~，花~;菜～，花～
圓	jan2	团~;团～
圖	tʰu2	画~，地~;画～，地～
團	tʰɔn2	~结，~长;～结，～长
土	tʰu3	~地;～地
在	tsʰɔi1a	存在，还~[白]
在	tsʰɔi3	实~，现~[文]
在	ʦʰɔi1a	存在，还～[白]
在	ʦʰɔi3	实～，现～[文]
圭	kuɐi2	人名用字;乌拉~;人名用字；乌拉～
地	tʰi3	土~;土～
圳	tsɐn5	深~;田中小沟
圳	ʦɐn5	深～；田中小沟
址	tsi3	地~
址	ʦi3	地～
均	kuɐn1a	平~，~匀;平～，～匀
坍	tʰæk8a	~塌;～塌
坎	hɐm1a	~坷;～坷
坐	tsʰɔ1a	~车，~稳
坐	ʦʰɔ1a	～车，～稳
坑	hɐn1a	水~，~沟;水～，～沟
坡	pʰɔ1a	山~，~度;山～，～度
坤	kʰuɐn1a	乾~;乾～
坦	tʰan3	~白，~克;～白，～克
坪	pʰɐn2	草~;草～
坯	pʰɔi1a	泥~，毛~房;泥～，毛～房
坳	ʔau5	山~，~背;山～，～背
坼	tsʰæk8a	裂开，爆~
坼	ʦʰæk8a	裂开，爆～
垂	sui2	下~，~头丧气;下～，～头丧气
型	jiɐn3	~号，类~;～号，类～
垮	kʰa1a	~台;～台
垻	pa5	平地，湖洋~;平地，湖洋～
埃	ʔai1a	尘~，~及;尘～，～及
埋	hoŋ1a	~伏
城	sɐn2	~市，县~;～市，县～
域	jɐt7	领~，地~;领～，地～
埠	fɐi3	开~;庵~，蚌~(地名);开～;庵～，蚌～（地名）
執	tsɐp8a	~行，~法
執	ʦɐp8a	～行，～法
培	pʰɔi2	~训;～训
基	ki1a	~本，地~;～本，地～
堂	tʰɔn2	~兄，拜~，课~;～兄，拜～，课～
堅	kian1a	~强;～强
堆	tɔi1b	一~[量]，~放[动];一～[量]，～放[动]
堡	pɔ3	碉~;碉～
堤	tʰi2	河~，~坝;河～，～坝
堪	hɐm1a	难~，不~;难～，不～
堯	ȵau2	~舜禹;～舜禹
堰	jan5	坝，都江~;坝，都江～
報	pɔ5	~告，日~;～告，日～
場	tʰɔŋ2	排~，~地;排～，～地
堵	ɬɐt7	~车，~塞;～车，～塞
塊	fai5	一~;一～
塊	mɐn1b	一~钱;一～钱
塌	tʰæk8a	倒~;倒～
塍	sɐn2	田~;田～
塑	ɬɔk8a	雕~，~料;雕～，～料
塔	tʰæk8a	宝~;宝～
塗	tʰu2	糊~，~改;糊～，～改
塘	tʰɔn2	鱼~;鱼～
塞	ɬɐt7	堵~，~车;堵～，～车
塡	tʰian2	~空;～空
塢	vu1a	船~;船～
塵	tsʰɐn2	灰~，~灰
塵	ʦʰɐn2	灰～，～灰
境	kiɐn3	环~，~界;环～，～界
墅	ɬui3	别~;别～
墊	tʰiam3	~钱，座~;～钱，座～
墓	mu5	坟~，~地;坟～，～地
墜	tsʰui3	下~，玉~[文];目~~[白]
墜	ʦʰui3	下～，玉～[文];目～～[白]
增	tsɐn1a	~加
增	ʦɐn1a	～加
墟	nau3	~日
墨	mɐt8a	~水;～水
墩	tun3	桥~;桥～
墳	fɐn2	~墓，上~;～墓，上～
墾	hɐn2	开~;开～
壁	pɐt8a	墙~;墙～
壇	tʰan2	天~，文~;天～，文～
壓	ʔæp8a	~力;～力
壕	hɔ2	战~;战～
壘	lui2	堡~，~球;堡～，～球
壞	vai3	~人;～人
壟	loŋ3	~断;～断
壢	liɛt8a	地~(旱地);地～（旱地）
壤	ȵɔŋ2	土~;土～
壩	pa5	堤，溪~;堤，溪～
士	sia3	~兵;～兵
壬	ȵɐm3	天干，庚辛壬癸
壯	tsɔŋ5	强~
壯	ʦɔŋ5	强～
壺	fu2	水~;水～
壽	siu3	长~;长～
夏	ha3	姓;春~秋冬;春～秋冬
夕	tsʰiɐt8a	~阳
夕	ʦʰiɐt8a	～阳
外	ŋɔi3	~面;～面
多	tɔ1a	~少;～少
夜	ja3	日~，~班;日～，～班
夠	kɐi5	足~;足～
