#漢字	音標	解釋
卑	pi1a	自～，～鄙
彼	pʰi3	～此
臂	pi5	手～，～力
披	pʰi1a	～肩，～露
譬	pi3	～喻，～如
皮	pʰi2	调～，～肤
疲	pʰi2	～劳
脾	pʰi2	～胃，～气
被	pʰi1a	被子，毛巾～
被	pʰi3	～动，～迫
避	pʰi3	逃～
糜	fu2	～烂；粥
彌	ȵi2	～补，阿～陀佛
離	li2	～別，～开
籬	li2	～笆
璃	li2	玻～
荔	li2	～枝
紫	ʦi3	～色
雌	ʦʰi1a	～雄
此	ʦʰi3	到～为止
刺	ʦʰi5	～激，穿～
疵	ʦʰi1a	瑕～，吹毛求～
斯	sia1a	～大林
撕	si1a	～烂
璽	sai3	玉～
賜	ʦʰi5	赏～
知	ʦi1a	通～，～道，无～[文]
知	ʦi1a	～识[文]
知	ʦi1a	知道，唔～[白]
蜘	ʦi1a	～蛛
智	ʦi5	～慧
池	ʦʰi2	水～
馳	ʦʰi2	奔～
差	ʦʰai1a	参～不齐
篩	ɬi1a	谷～，米～
支	ʦi1b	两～笔[白，量]
支	ʦi1a	～持，天干地～[文]
枝	ʦi1a	树～
肢	ʦi1a	四～，～体
梔	ʦi1a	黄～（水横枝、黄果）
紙	ʦi3	白～
只	ʦɐt7	～有
侈	kʰi1a	奢～
舐	sai3	舔
施	si1a	措～；姓
翅	ʦʰi5	鱼～
匙	si2	锁～，汤～
是	si3	～否，～非
氏	sɐt8a	姓～
豉	si3	豆～
兒	ȵi2	～童
爾	ȵi2	～虞我诈；保～（人名）
寄	ki5	～信，～托
企	kʰi1a	～业，～鹅
奇	ki2	～怪
騎	kʰi2	～马
騎	kʰi2	～楼
岐	kʰi2	～山
徛	kʰi1a	站立；（山）斜度高
技	kʰi5	～术[文]
技	kʰi5	杂～[白]
妓	kʰi5	～女
宜	ȵi2	适～，～昌
儀	ȵi2	礼～，～式
蟻	ȵɛ5	蚂蚁，白～
誼	ȵi2	友～
義	ȵi5	情～，～气
議	ȵi5	～论，会～
犧	hi1a	～牲
